Target,Model,Accuracy,F1,Precision,Recall
Valence,RandomForest,0.6232288037166086,0.7392415210128104,0.6406001364862927,0.8773846153846154
Valence,LogisticRegression,0.5943670150987224,0.710898368116786,0.6277475191060117,0.8226153846153845
Valence,SVM,0.6136469221835076,0.7475241745253051,0.6228049777921408,0.9367692307692309
Arousal,RandomForest,0.717363530778165,0.8318322147096326,0.7305390156128282,0.9666666666666668
Arousal,LogisticRegression,0.6981997677119628,0.8164906433336482,0.7268773019992533,0.9333333333333333
Arousal,SVM,0.7223577235772357,0.8382833231271688,0.7252300544983472,0.9933333333333334
Dominance,RandomForest,0.7609756097560976,0.8630299941075552,0.7724178057714643,0.9780241935483872
Dominance,LogisticRegression,0.7562137049941928,0.8591673787014324,0.7741164708205788,0.9655241935483871
Dominance,SVM,0.7681765389082462,0.8688091525830288,0.7700058072009291,0.9967741935483871
